endpoint,service,namespace,prometheus,value,prometheus_replica,instance,job,time,__name__
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:00:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:00:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:01:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:01:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:02:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:02:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:03:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:03:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:04:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:04:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:05:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:05:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:06:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:06:36.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:07:06.483Z,ssh_tunnel_open_fail_count
https,kubernetes,default,monitoring/k8s,0,prometheus-k8s-1,192.168.199.31:6443,apiserver,2019-11-21T04:07:36.483Z,ssh_tunnel_open_fail_count
